PM2.5,CO2,VOC,Temperature,Humidity,AQI
82,1800,330,38,60,Poor
173,690,147,21,44,Hazardous
95,1145,378,37,49,Poor
91,1421,90,24,55,Poor
115,1788,190,29,82,Hazardous
12,448,462,27,65,Good
34,1233,280,30,34,Moderate
62,729,491,28,54,Poor
131,979,489,28,37,Hazardous
23,431,365,27,52,Good
40,1620,498,24,69,Moderate
155,360,492,30,73,Hazardous
110,597,282,20,78,Hazardous
26,1142,305,33,47,Good
66,1385,424,30,51,Poor
27,1091,133,33,44,Good
19,1441,462,26,33,Good
8,1503,246,30,44,Good
122,818,497,36,61,Hazardous
78,1858,332,22,68,Poor
57,1803,381,32,65,Moderate
104,879,77,32,67,Hazardous
135,1974,54,29,33,Hazardous
9,702,367,31,42,Good
111,803,207,21,67,Hazardous
72,1578,169,29,56,Poor
157,507,223,38,34,Hazardous
163,581,256,34,71,Hazardous
89,1584,352,24,77,Poor
18,911,251,30,34,Good
106,432,371,37,82,Hazardous
98,1966,465,23,82,Poor
102,1582,391,26,75,Hazardous
20,1119,454,34,79,Good
41,604,446,24,50,Moderate
72,1857,332,33,47,Poor
77,1199,231,29,75,Poor
163,546,57,37,63,Hazardous
28,637,234,21,38,Good
107,1618,103,38,39,Hazardous
76,1045,214,36,41,Poor
21,1489,291,20,77,Good
173,1629,324,35,74,Hazardous
136,782,202,28,38,Hazardous
177,1087,291,38,45,Hazardous
73,1921,443,24,75,Poor
144,1545,124,28,75,Hazardous
150,510,69,33,33,Hazardous
106,1485,384,31,74,Hazardous
103,1951,76,34,84,Hazardous
157,1065,195,21,49,Hazardous
142,392,337,20,40,Hazardous
76,980,448,32,68,Poor
153,1568,346,36,42,Hazardous
107,677,81,38,84,Hazardous
36,1568,460,27,47,Moderate
129,931,497,31,57,Hazardous
165,482,341,29,62,Hazardous
151,535,478,20,67,Hazardous
164,1222,460,20,48,Hazardous
139,649,181,27,62,Hazardous
148,539,179,30,83,Hazardous
129,1234,160,26,65,Hazardous
178,1633,389,31,70,Hazardous
118,920,427,32,51,Hazardous
27,1553,200,31,67,Good
132,1351,103,32,49,Hazardous
109,607,197,28,35,Hazardous
177,1142,223,38,83,Hazardous
27,843,372,21,68,Good
165,714,118,32,31,Hazardous
33,783,315,38,39,Moderate
135,1533,208,27,79,Hazardous
33,1346,58,26,70,Moderate
88,1224,119,25,61,Poor
29,409,440,32,62,Good
152,1392,396,25,31,Hazardous
133,678,379,28,37,Hazardous
78,1611,117,27,73,Poor
61,1051,265,30,44,Poor
21,362,338,21,40,Good
107,1134,484,23,68,Hazardous
146,1891,378,31,80,Hazardous
38,1599,350,32,80,Moderate
151,1417,241,20,61,Hazardous
23,1342,429,21,35,Good
145,1840,50,29,53,Hazardous
8,1465,459,37,37,Good
123,1173,71,35,32,Hazardous
21,1784,324,23,78,Good
102,1986,79,20,55,Hazardous
31,519,185,32,67,Moderate
98,1465,367,21,53,Poor
147,1708,156,25,43,Hazardous
67,907,253,37,59,Poor
13,813,418,23,69,Good
162,1802,423,34,66,Hazardous
149,698,179,29,47,Hazardous
131,1163,126,21,51,Hazardous
102,943,267,20,59,Hazardous
146,1871,428,25,41,Hazardous
29,887,468,23,61,Good
168,465,346,30,45,Hazardous
75,354,468,32,76,Poor
159,1267,326,34,34,Hazardous
84,1971,227,24,66,Poor
128,356,304,25,67,Hazardous
45,1832,238,32,80,Moderate
128,1806,400,30,35,Hazardous
126,1627,108,30,32,Hazardous
91,1126,269,38,46,Poor
24,1248,114,32,64,Good
107,795,230,38,58,Hazardous
117,364,341,30,74,Hazardous
149,647,142,31,47,Hazardous
73,1451,297,35,64,Poor
105,703,151,36,82,Hazardous
85,1066,444,21,74,Poor
122,368,56,30,49,Hazardous
113,664,136,24,78,Hazardous
141,864,219,35,33,Hazardous
26,874,324,30,48,Good
125,1494,224,29,50,Hazardous
136,719,54,29,43,Hazardous
55,1400,421,32,55,Moderate
163,675,187,34,64,Hazardous
80,1598,107,37,83,Poor
170,1678,340,25,52,Hazardous
53,376,240,31,75,Moderate
62,358,220,37,49,Poor
173,594,369,28,55,Hazardous
115,875,92,34,55,Hazardous
18,1352,257,23,46,Good
99,639,418,26,56,Poor
178,1969,102,29,53,Hazardous
179,1331,139,30,45,Hazardous
121,482,106,26,72,Hazardous
87,1919,187,23,44,Poor
125,604,473,31,80,Hazardous
80,1455,371,34,40,Poor
49,368,254,33,47,Moderate
180,723,416,27,70,Hazardous
174,1538,354,22,41,Hazardous
149,447,76,33,44,Hazardous
96,798,271,31,52,Poor
92,1223,429,20,73,Poor
84,863,286,21,83,Poor
84,1713,141,31,78,Poor
116,1009,148,27,48,Hazardous
45,1484,368,29,72,Moderate
63,1790,286,21,54,Poor
80,1280,55,23,33,Poor
61,1698,88,31,76,Poor
131,552,318,37,46,Hazardous
128,481,378,38,32,Hazardous
72,766,432,20,70,Poor
174,1731,144,24,48,Hazardous
57,1046,97,25,75,Moderate
33,492,321,33,42,Moderate
36,1972,216,22,72,Moderate
70,947,173,22,41,Poor
154,1205,477,29,76,Hazardous
63,1852,431,32,64,Poor
70,678,382,20,56,Poor
48,1742,327,36,60,Moderate
141,649,226,23,64,Hazardous
164,1109,339,24,36,Hazardous
15,1710,205,20,78,Good
166,1919,128,36,79,Hazardous
39,382,475,22,38,Moderate
129,942,143,21,51,Hazardous
100,1495,234,26,40,Hazardous
56,621,391,22,30,Moderate
8,1196,421,21,52,Good
114,1188,244,23,52,Hazardous
71,1443,155,36,72,Poor
144,530,156,21,51,Hazardous
153,1895,322,23,41,Hazardous
130,790,328,25,78,Hazardous
49,1628,150,25,50,Moderate
105,1756,386,30,81,Hazardous
158,1209,340,29,70,Hazardous
84,1894,132,31,44,Poor
15,1063,93,20,38,Good
29,1505,117,21,41,Good
150,1810,352,23,47,Hazardous
150,1831,246,28,74,Hazardous
60,489,71,28,45,Poor
69,1265,201,30,52,Poor
96,1780,409,24,79,Poor
35,1735,255,38,83,Moderate
35,880,270,21,35,Moderate
173,1340,395,25,75,Hazardous
80,1918,132,29,60,Poor
127,1514,99,21,47,Hazardous
90,390,144,38,30,Poor
179,1730,382,34,65,Hazardous
137,580,98,37,43,Hazardous
142,856,148,33,53,Hazardous
100,981,485,28,65,Hazardous
91,739,97,24,74,Poor
20,523,497,29,52,Good
148,433,111,32,44,Hazardous
95,812,481,33,57,Poor
17,1815,377,23,37,Good
123,1289,413,28,79,Hazardous
162,384,425,21,83,Hazardous
93,1213,329,26,60,Poor
86,811,476,31,47,Poor
102,1531,365,32,58,Hazardous
45,1481,170,25,82,Moderate
36,1299,177,29,76,Moderate
113,942,428,32,80,Hazardous
113,381,491,25,81,Hazardous
168,983,488,28,32,Hazardous
103,1878,499,35,65,Hazardous
85,1190,447,35,65,Poor
99,711,469,34,84,Poor
31,1843,56,25,50,Moderate
49,430,325,23,85,Moderate
84,1686,406,31,32,Poor
173,1125,248,25,66,Hazardous
124,1059,280,26,55,Hazardous
42,1561,237,24,72,Moderate
5,1211,226,21,51,Good
55,1865,193,21,44,Moderate
18,994,441,24,59,Good
61,1778,172,38,75,Poor
22,1761,380,22,70,Good
76,1106,50,25,62,Poor
37,1352,154,38,35,Moderate
148,1296,290,30,31,Hazardous
118,423,385,37,35,Hazardous
173,1123,412,35,46,Hazardous
28,806,344,20,85,Good
68,1093,142,26,36,Poor
174,1150,482,27,49,Hazardous
89,765,265,21,35,Poor
161,785,242,38,47,Hazardous
9,1850,183,32,33,Good
169,1766,482,37,40,Hazardous
127,1722,386,37,77,Hazardous
115,764,81,20,67,Hazardous
17,1216,188,28,79,Good
62,1870,261,23,62,Poor
179,1504,282,24,56,Hazardous
38,880,378,34,72,Moderate
103,1498,472,38,32,Hazardous
108,1884,52,26,61,Hazardous
149,616,119,38,32,Hazardous
59,1938,197,20,72,Moderate
60,1617,71,27,79,Poor
49,1656,156,34,60,Moderate
162,822,408,24,50,Hazardous
54,936,219,22,79,Moderate
155,1747,161,30,85,Hazardous
85,701,469,28,78,Poor
70,1825,379,34,81,Poor
58,1883,327,24,67,Moderate
68,1830,471,37,40,Poor
51,813,342,29,34,Moderate
179,1771,321,21,81,Hazardous
77,1722,363,28,67,Poor
117,1233,110,30,75,Hazardous
146,1927,476,22,49,Hazardous
85,1438,473,38,78,Poor
28,477,133,21,84,Good
180,662,136,36,32,Hazardous
93,960,214,20,77,Poor
15,1152,114,37,38,Good
174,1237,300,37,36,Hazardous
118,1630,392,35,43,Hazardous
149,566,345,36,49,Hazardous
148,1651,345,24,33,Hazardous
177,627,62,38,44,Hazardous
13,1318,279,33,71,Good
82,1904,490,34,41,Poor
16,1332,445,26,47,Good
149,1465,351,25,83,Hazardous
163,1913,242,21,64,Hazardous
135,448,282,30,59,Hazardous
149,1629,252,31,80,Hazardous
157,1607,446,36,51,Hazardous
178,732,195,24,80,Hazardous
125,1583,233,32,44,Hazardous
165,1197,211,33,60,Hazardous
72,1844,360,25,76,Poor
171,1543,109,22,70,Hazardous
73,1602,113,32,35,Poor
76,546,333,28,60,Poor
148,1033,466,28,75,Hazardous
97,1412,66,30,75,Poor
49,1088,78,31,55,Moderate
173,1406,319,28,83,Hazardous
154,431,55,38,37,Hazardous
78,1230,160,24,70,Poor
116,1867,316,20,30,Hazardous
44,1424,204,22,75,Moderate
121,767,67,23,64,Hazardous
63,1386,144,37,41,Poor
133,745,425,23,48,Hazardous
81,1568,479,23,79,Poor
60,1075,245,37,53,Poor
101,1900,308,23,75,Hazardous
46,416,351,27,49,Moderate
161,1747,93,38,52,Hazardous
144,872,378,31,48,Hazardous
171,1405,360,29,52,Hazardous
157,834,215,24,52,Hazardous
140,360,51,32,77,Hazardous
118,1402,337,38,64,Hazardous
24,357,83,35,47,Good
97,1695,421,31,49,Poor
90,1196,330,21,41,Poor
6,748,247,30,35,Good
14,437,383,35,68,Good
58,518,157,22,54,Moderate
153,1710,142,28,45,Hazardous
120,766,398,29,32,Hazardous
67,1871,393,31,65,Poor
51,1553,300,28,82,Moderate
45,1942,137,29,56,Moderate
161,1864,112,24,32,Hazardous
66,461,147,29,62,Poor
71,1588,202,29,73,Poor
15,968,321,38,85,Good
67,1557,353,22,59,Poor
27,1114,57,23,32,Good
73,445,409,25,41,Poor
10,1304,82,33,39,Good
19,1261,196,28,53,Good
93,1635,399,22,77,Poor
15,1885,459,34,62,Good
68,1511,81,32,55,Poor
172,517,435,34,64,Hazardous
41,1145,492,29,82,Moderate
10,1815,139,30,83,Good
42,1312,406,38,40,Moderate
153,1706,96,27,36,Hazardous
172,1894,392,26,66,Hazardous
110,477,313,21,62,Hazardous
165,704,306,35,74,Hazardous
53,1835,93,33,63,Moderate
99,932,69,32,74,Poor
139,1217,271,29,49,Hazardous
113,1851,248,26,76,Hazardous
46,472,420,20,80,Moderate
161,672,301,33,55,Hazardous
129,481,119,31,63,Hazardous
48,851,371,26,83,Moderate
137,1545,127,26,61,Hazardous
6,1111,71,35,57,Good
61,389,434,30,39,Poor
46,783,54,26,45,Moderate
108,1811,338,35,36,Hazardous
150,1842,229,29,48,Hazardous
156,661,164,29,85,Hazardous
73,913,464,36,38,Poor
57,977,382,28,79,Moderate
53,574,271,30,78,Moderate
39,370,386,24,60,Moderate
70,1127,405,38,32,Poor
140,625,255,36,42,Hazardous
18,1976,486,36,82,Good
80,1596,55,32,66,Poor
11,561,381,35,64,Good
116,1695,89,26,81,Hazardous
129,856,202,34,56,Hazardous
38,1352,442,37,67,Moderate
132,1016,309,36,36,Hazardous
19,1200,472,23,59,Good
54,1309,301,34,45,Moderate
114,1576,343,31,47,Hazardous
77,1911,87,32,55,Poor
68,934,74,32,69,Poor
118,1381,172,31,53,Hazardous
44,943,125,35,31,Moderate
15,1050,333,32,72,Good
24,356,304,24,84,Good
21,1019,95,32,78,Good
27,1415,226,26,60,Good
71,522,500,22,56,Poor
152,1771,496,29,40,Hazardous
102,1727,499,30,35,Hazardous
131,1667,103,36,49,Hazardous
97,1589,334,28,51,Poor
97,1182,320,35,56,Poor
32,445,328,25,77,Moderate
89,738,63,26,67,Poor
75,882,93,26,56,Poor
126,390,194,23,69,Hazardous
102,922,439,23,83,Hazardous
20,1371,442,36,40,Good
89,719,197,34,45,Poor
117,1441,499,28,32,Hazardous
143,456,61,20,52,Hazardous
78,792,71,27,64,Poor
47,1711,423,38,47,Moderate
117,1697,68,34,47,Hazardous
57,1022,118,23,35,Moderate
39,696,219,37,39,Moderate
137,1659,117,37,78,Hazardous
79,1087,116,29,42,Poor
105,618,345,25,58,Hazardous
136,937,88,30,43,Hazardous
169,1238,408,24,84,Hazardous
107,651,455,32,78,Hazardous
116,1596,148,36,40,Hazardous
150,1634,475,32,46,Hazardous
147,778,237,29,40,Hazardous
158,1895,119,23,79,Hazardous
124,1785,209,32,70,Hazardous
59,694,224,35,75,Moderate
104,1559,52,29,76,Hazardous
7,1578,254,36,79,Good
146,962,174,26,79,Hazardous
22,492,139,27,69,Good
64,1958,74,24,44,Poor
127,1577,325,37,47,Hazardous
60,1431,152,22,44,Poor
104,385,88,24,36,Hazardous
24,461,435,21,56,Good
96,1143,160,30,37,Poor
60,975,406,27,31,Poor
17,1022,166,35,54,Good
154,1860,264,21,69,Hazardous
36,1541,325,32,51,Moderate
79,1676,258,21,34,Poor
180,1670,189,38,44,Hazardous
6,1041,239,31,32,Good
117,1790,416,36,69,Hazardous
53,911,391,21,74,Moderate
130,1963,459,20,34,Hazardous
40,803,325,35,39,Moderate
34,1306,104,35,47,Moderate
6,1380,176,35,65,Good
139,843,419,24,38,Hazardous
151,486,269,36,30,Hazardous
161,1637,208,30,63,Hazardous
144,890,218,33,41,Hazardous
90,1108,467,27,43,Poor
168,354,85,20,30,Hazardous
11,1230,246,28,85,Good
130,855,202,22,37,Hazardous
104,635,283,22,53,Hazardous
70,1698,482,29,50,Poor
158,1859,398,24,83,Hazardous
30,706,436,33,30,Moderate
79,1723,447,26,41,Poor
108,400,215,36,52,Hazardous
31,1818,349,32,72,Moderate
16,1685,488,20,52,Good
106,553,345,28,82,Hazardous
122,1719,409,32,71,Hazardous
150,1324,274,27,31,Hazardous
92,1411,139,29,70,Poor
103,1736,115,28,42,Hazardous
38,674,323,34,77,Moderate
178,789,194,21,80,Hazardous
136,402,328,29,67,Hazardous
180,1434,425,28,40,Hazardous
92,1662,271,21,54,Poor
111,1415,204,32,67,Hazardous
49,719,172,34,61,Moderate
50,360,460,25,78,Moderate
110,753,93,25,34,Hazardous
120,1193,341,35,70,Hazardous
40,1299,402,25,50,Moderate
165,442,359,22,44,Hazardous
110,1023,87,25,50,Hazardous
43,398,361,26,33,Moderate
177,453,223,25,44,Hazardous
179,1655,260,27,69,Hazardous
109,1963,457,23,59,Hazardous
5,1096,89,38,68,Good
146,453,331,22,77,Hazardous
111,704,401,21,51,Hazardous
28,1410,59,34,56,Good
121,838,357,37,56,Hazardous
5,1060,440,23,85,Good
93,1158,61,32,58,Poor
13,802,382,36,53,Good
77,954,55,26,81,Poor
114,1982,263,29,49,Hazardous
78,1337,432,23,70,Poor
25,594,77,32,67,Good
17,426,139,30,66,Good
157,1166,399,24,37,Hazardous
119,1061,464,26,58,Hazardous
107,1576,74,34,64,Hazardous
151,1910,205,31,43,Hazardous
90,382,302,26,66,Poor
47,1103,62,36,67,Moderate
15,507,234,25,53,Good
71,1922,216,36,75,Poor
118,1588,484,34,61,Hazardous
171,1179,60,22,62,Hazardous
33,1315,483,24,43,Moderate
93,1452,206,24,30,Poor
175,1041,265,24,70,Hazardous
8,1085,62,25,61,Good
33,401,314,25,53,Moderate
108,863,214,28,50,Hazardous
98,1365,72,36,36,Poor
48,849,326,38,36,Moderate
72,892,236,37,38,Poor
172,361,368,36,81,Hazardous
91,1168,416,23,33,Poor
41,1795,292,33,69,Moderate
48,449,327,38,51,Moderate
150,477,135,20,57,Hazardous
100,1194,210,23,62,Hazardous
63,589,175,26,73,Poor
32,1757,402,27,65,Moderate
162,520,311,30,81,Hazardous
45,1936,59,34,31,Moderate
77,1947,57,23,55,Poor
56,1307,371,27,73,Moderate
174,506,160,36,31,Hazardous
103,733,446,26,82,Hazardous
164,1371,119,26,85,Hazardous
115,977,237,37,45,Hazardous
152,1177,471,38,66,Hazardous
67,1955,379,32,47,Poor
86,673,222,21,55,Poor
73,759,135,31,44,Poor
16,1792,419,37,81,Good
127,621,174,23,70,Hazardous
171,1820,413,36,76,Hazardous
87,775,480,29,55,Poor
52,567,242,34,81,Moderate
7,1885,340,28,68,Good
135,1235,288,21,37,Hazardous
85,1572,169,32,49,Poor
57,1047,104,25,49,Moderate
59,1300,267,20,34,Moderate
135,402,401,24,65,Hazardous
177,1302,245,27,55,Hazardous
165,1744,404,36,30,Hazardous
80,509,296,35,79,Poor
117,388,318,32,82,Hazardous
14,1544,221,20,55,Good
13,974,483,25,79,Good
10,1256,242,32,58,Good
24,1056,363,27,82,Good
149,993,420,30,49,Hazardous
85,1033,386,38,56,Poor
141,1904,111,30,47,Hazardous
96,1330,99,35,50,Poor
140,1678,232,37,82,Hazardous
8,1459,283,30,34,Good
156,592,132,35,41,Hazardous
174,1016,280,20,56,Hazardous
53,375,168,28,41,Moderate
173,605,461,20,31,Hazardous
23,1291,179,37,65,Good
61,1113,433,31,32,Poor
143,1268,494,36,69,Hazardous
51,562,142,34,61,Moderate
36,1303,226,35,69,Moderate
18,1145,119,21,45,Good
178,884,274,21,63,Hazardous
22,394,231,33,42,Good
117,839,473,25,44,Hazardous
124,1588,393,22,75,Hazardous
85,1852,377,35,63,Poor
9,1516,102,23,59,Good
55,1021,274,31,54,Moderate
54,500,247,35,39,Moderate
11,834,145,24,47,Good
70,1494,495,37,46,Poor
160,610,420,34,49,Hazardous
131,743,466,35,41,Hazardous
97,707,169,29,63,Poor
170,1036,304,29,34,Hazardous
155,1005,213,28,43,Hazardous
112,1954,201,31,69,Hazardous
113,1898,179,20,77,Hazardous
150,1827,459,22,69,Hazardous
125,595,211,35,37,Hazardous
6,1511,345,37,67,Good
18,1931,457,30,76,Good
170,1443,315,24,74,Hazardous
84,1262,110,26,67,Poor
163,1713,350,29,67,Hazardous
51,681,160,23,53,Moderate
35,557,251,29,30,Moderate
142,1068,190,26,31,Hazardous
117,1912,93,26,77,Hazardous
134,1841,388,33,37,Hazardous
87,1013,193,31,80,Poor
24,991,314,37,44,Good
56,933,379,34,62,Moderate
119,959,223,33,73,Hazardous
87,1270,182,30,79,Poor
152,979,77,34,60,Hazardous
112,849,204,36,56,Hazardous
161,1752,466,32,45,Hazardous
143,664,279,30,68,Hazardous
92,358,267,30,41,Poor
59,746,401,34,58,Moderate
130,1239,148,26,52,Hazardous
42,363,76,37,70,Moderate
137,1634,452,26,30,Hazardous
173,604,242,23,83,Hazardous
62,607,276,36,72,Poor
73,1069,69,28,47,Poor
150,1984,452,31,45,Hazardous
176,648,111,38,31,Hazardous
53,938,409,25,64,Moderate
107,1389,194,33,35,Hazardous
107,1912,465,23,65,Hazardous
128,1256,143,20,59,Hazardous
112,477,486,28,68,Hazardous
117,1331,69,34,49,Hazardous
56,600,208,26,75,Moderate
20,989,120,25,80,Good
110,1608,433,29,35,Hazardous
33,1489,445,21,48,Moderate
126,1954,242,30,71,Hazardous
121,431,260,37,34,Hazardous
27,1975,463,24,59,Good
158,1193,237,23,62,Hazardous
97,865,277,31,70,Poor
143,420,109,29,46,Hazardous
13,615,396,28,62,Good
60,1217,104,23,51,Poor
16,1153,477,20,33,Good
98,1627,269,21,66,Poor
140,711,219,38,63,Hazardous
93,1238,120,32,31,Poor
128,622,448,35,41,Hazardous
56,1787,150,29,54,Moderate
12,871,331,29,60,Good
69,1178,314,23,70,Poor
138,1518,284,36,59,Hazardous
164,1985,454,32,68,Hazardous
121,1346,494,37,63,Hazardous
112,1003,381,21,67,Hazardous
55,1773,231,37,78,Moderate
95,1784,223,36,83,Poor
165,1968,192,25,42,Hazardous
180,2000,212,24,79,Hazardous
57,700,473,38,84,Moderate
73,1929,309,20,46,Poor
114,1626,395,21,76,Hazardous
13,672,385,29,31,Good
112,1915,246,37,46,Hazardous
139,1601,218,20,41,Hazardous
144,1276,327,27,45,Hazardous
70,1003,162,34,54,Poor
171,475,169,35,63,Hazardous
54,695,164,22,58,Moderate
25,510,327,25,58,Good
167,572,427,24,42,Hazardous
19,1305,482,20,39,Good
159,1434,115,23,65,Hazardous
119,734,301,25,84,Hazardous
62,853,394,33,75,Poor
37,1896,300,26,39,Moderate
170,1357,359,33,55,Hazardous
115,1557,393,28,70,Hazardous
25,1285,493,30,63,Good
81,1595,330,23,62,Poor
42,1075,341,20,45,Moderate
69,1796,427,26,45,Poor
27,777,211,27,61,Good
173,1570,195,27,73,Hazardous
176,1867,298,23,48,Hazardous
18,1446,120,33,84,Good
98,1861,391,22,33,Poor
144,870,66,32,47,Hazardous
146,472,335,28,49,Hazardous
146,1982,154,36,83,Hazardous
157,454,296,37,72,Hazardous
134,1130,408,28,44,Hazardous
46,1790,87,27,59,Moderate
72,1500,222,21,62,Poor
26,776,357,21,46,Good
72,1547,402,29,78,Poor
54,868,376,36,71,Moderate
150,1593,194,22,75,Hazardous
138,996,205,27,40,Hazardous
41,679,351,30,71,Moderate
82,1238,376,23,69,Poor
49,1559,420,37,78,Moderate
80,381,489,30,36,Poor
129,448,340,23,40,Hazardous
16,862,345,35,62,Good
48,495,197,29,63,Moderate
178,404,326,33,30,Hazardous
129,956,465,28,46,Hazardous
80,1075,333,21,68,Poor
130,693,346,26,53,Hazardous
22,1082,222,28,53,Good
70,1068,108,28,75,Poor
114,1737,368,34,72,Hazardous
138,1914,213,33,59,Hazardous
171,1445,179,26,39,Hazardous
152,1728,272,31,58,Hazardous
58,455,60,22,56,Moderate
10,1343,281,21,63,Good
6,1595,201,36,49,Good
122,421,184,29,31,Hazardous
105,1346,98,21,60,Hazardous
35,1369,332,37,73,Moderate
94,1752,58,28,64,Poor
64,1273,426,20,45,Poor
142,1659,103,27,44,Hazardous
153,1889,244,22,39,Hazardous
73,469,109,21,47,Poor
124,873,312,21,34,Hazardous
180,1759,397,38,57,Hazardous
18,1269,126,33,81,Good
15,1113,474,21,34,Good
156,470,354,32,44,Hazardous
6,1309,224,34,56,Good
63,1721,350,36,44,Poor
91,549,63,26,64,Poor
90,1653,123,35,69,Poor
178,701,477,36,73,Hazardous
46,834,350,35,80,Moderate
64,370,343,35,50,Poor
35,1024,278,26,39,Moderate
5,639,415,37,45,Good
176,1790,177,22,31,Hazardous
45,1446,109,35,77,Moderate
21,1570,77,23,50,Good
40,1060,405,33,73,Moderate
174,837,172,30,53,Hazardous
63,1460,476,20,59,Poor
133,642,367,29,51,Hazardous
177,642,455,21,54,Hazardous
173,1120,305,32,33,Hazardous
25,732,97,30,66,Good
78,1633,388,25,43,Poor
158,1373,472,29,40,Hazardous
41,811,475,34,77,Moderate
73,408,455,31,62,Poor
34,1440,400,32,62,Moderate
96,960,332,35,31,Poor
63,1407,339,35,60,Poor
66,1354,350,34,37,Poor
58,1119,82,24,55,Moderate
64,628,91,20,44,Poor
158,1046,117,38,42,Hazardous
155,1220,269,29,55,Hazardous
26,1610,83,22,50,Good
140,1575,421,32,30,Hazardous
89,1566,188,37,41,Poor
61,1633,94,31,37,Poor
130,1589,293,34,33,Hazardous
33,393,72,21,59,Moderate
24,395,335,32,75,Good
45,555,149,27,61,Moderate
82,377,381,25,69,Poor
11,1590,194,23,37,Good
123,1343,194,22,79,Hazardous
120,1818,146,28,59,Hazardous
93,1965,282,26,80,Poor
172,1606,318,28,84,Hazardous
161,1392,382,26,82,Hazardous
30,459,439,24,83,Moderate
133,780,466,27,48,Hazardous
101,1880,342,21,45,Hazardous
156,768,281,37,36,Hazardous
154,1690,346,37,60,Hazardous
48,1106,92,28,37,Moderate
78,493,105,23,33,Poor
23,1263,289,26,31,Good
45,769,332,26,52,Moderate
42,919,223,23,49,Moderate
175,1937,179,30,66,Hazardous
153,1830,388,31,83,Hazardous
124,622,260,24,34,Hazardous
169,564,329,33,71,Hazardous
129,1340,188,34,52,Hazardous
129,500,252,34,69,Hazardous
163,951,82,27,40,Hazardous
145,1881,260,27,71,Hazardous
104,360,123,33,44,Hazardous
166,1770,287,33,83,Hazardous
105,756,111,30,66,Hazardous
